species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,name,lat,lon
Adelie,Biscoe,37.6,19.1,194,3750,Male,Michael Brewer,-64.77118036,-63.78132708
Adelie,Biscoe,35.7,16.9,185,3150,Female,Zachary Young,-64.72534131,-63.81797459
Adelie,Biscoe,41.3,21.1,195,4400,Male,Tanya Santana DVM,-64.71949629,-63.80566275
Adelie,Biscoe,37.6,17,185,3600,Female,Jeremy Reed,-64.76277818,-63.81241158
Adelie,Biscoe,41.1,18.2,192,4050,Male,Alyssa Taylor,-64.75041924,-63.76554904
Adelie,Biscoe,36.4,17.1,184,2850,Female,Renee Mccarthy,-64.70502033,-63.77050719
Adelie,Biscoe,41.6,18,192,3950,Male,Kelly Conley,-64.76951749,-63.77986032
Adelie,Biscoe,35.5,16.2,195,3350,Female,Steven Jones,-64.72857683,-63.82738176
Adelie,Biscoe,41.1,19.1,188,4100,Male,Kenneth Bauer,-64.75331226,-63.78409593
Adelie,Torgersen,35.9,16.6,190,3050,Female,Michael Faulkner,-64.45112437,-63.72273231
Adelie,Torgersen,41.8,19.4,198,4450,Male,Curtis Johnson,-64.43840218,-63.72903418
Adelie,Torgersen,33.5,19,190,3600,Female,Karen Hughes,-64.45213673,-63.68462665
Adelie,Torgersen,39.7,18.4,190,3900,Male,Barbara Walker,-64.50454879,-63.74689339
Adelie,Torgersen,39.6,17.2,196,3550,Female,David Heath,-64.46777181,-63.72861242
Adelie,Torgersen,45.8,18.9,197,4150,Male,Brandon Delacruz,-64.46401675,-63.73802376
Adelie,Torgersen,35.5,17.5,190,3700,Female,Alyssa Leonard,-64.46516453,-63.72817668
Adelie,Torgersen,42.8,18.5,195,4250,Male,Marie Hampton,-64.49551855,-63.69871991
Adelie,Torgersen,40.9,16.8,191,3700,Female,Danny Garner,-64.46870007,-63.74938158
Adelie,Torgersen,37.2,19.4,184,3900,Male,Michele White,-64.46903508,-63.75428385
Adelie,Torgersen,36.2,16.1,187,3550,Female,Michael Cruz,-64.4685848,-63.72172931
Adelie,Torgersen,42.1,19.1,195,4000,Male,Kara Webster,-64.48205184,-63.7168652
Adelie,Torgersen,34.6,17.2,189,3200,Female,Jonathan Poole,-64.49834806,-63.72511269
Adelie,Torgersen,42.9,17.6,196,4700,Male,Christopher Fields,-64.43670777,-63.70324399
Adelie,Torgersen,36.7,18.8,187,3800,Female,Scott Hill,-64.50852149,-63.71024219
Adelie,Torgersen,35.1,19.4,193,4200,Male,Kimberly Moore,-64.46202808,-63.72095857
Adelie,Dream,37.3,17.8,191,3350,Female,Melanie Tucker,-64.70290993,-64.22549846
Adelie,Dream,41.3,20.3,194,3550,Male,Jackie Haley,-64.69078089,-64.2696215
Adelie,Dream,36.3,19.5,190,3800,Male,Robert Johnson,-64.7058894,-64.187169
Adelie,Dream,36.9,18.6,189,3500,Female,Andrea Anderson,-64.72512477,-64.21306322
Adelie,Dream,38.3,19.2,189,3950,Male,Sue Parker,-64.76650081,-64.23362749
Adelie,Dream,38.9,18.8,190,3600,Female,John Jacobs,-64.69408252,-64.20851173
Adelie,Dream,35.7,18,202,3550,Female,Gregory Castaneda,-64.74094523,-64.21130304
Adelie,Dream,41.1,18.1,205,4300,Male,Heather Meyers,-64.72828345,-64.2387049
Adelie,Dream,34,17.1,185,3400,Female,Mrs. Alexis Torres DVM,-64.72416818,-64.24665885
Adelie,Dream,39.6,18.1,186,4450,Male,Craig Sparks,-64.70304971,-64.17513395
Adelie,Dream,36.2,17.3,187,3300,Female,Samuel Perez,-64.70687428,-64.23122548
Adelie,Dream,40.8,18.9,208,4300,Male,Kristopher Rodriguez,-64.69590002,-64.21105853
Adelie,Dream,38.1,18.6,190,3700,Female,Jessica Townsend,-64.70964398,-64.19512586
Adelie,Dream,40.3,18.5,196,4350,Male,Angela Carson,-64.69644201,-64.18632517
Adelie,Dream,33.1,16.1,178,2900,Female,Dana Garza,-64.73303105,-64.24631007
Adelie,Dream,43.2,18.5,192,4100,Male,Joshua Walton,-64.67915463,-64.21204737
Adelie,Biscoe,35,17.9,192,3725,Female,Joseph Anderson,-64.72071113,-63.78902385
Adelie,Biscoe,41,20,203,4725,Male,Lori Greer,-64.71871466,-63.79813195
Adelie,Biscoe,37.7,16,183,3075,Female,Patrick Davis,-64.74571904,-63.79899103
Adelie,Biscoe,37.8,20,190,4250,Male,Crystal Valenzuela,-64.71021168,-63.79898494
Adelie,Biscoe,37.9,18.6,193,2925,Female,John Ruiz,-64.76392031,-63.74321873
Adelie,Biscoe,39.7,18.9,184,3550,Male,Austin Wade,-64.72322352,-63.75838391
Adelie,Biscoe,38.6,17.2,199,3750,Female,Heather Roach,-64.74906526,-63.78271488
Adelie,Biscoe,38.2,20,190,3900,Male,Donald Gibson,-64.73205324,-63.78870578
Adelie,Biscoe,38.1,17,181,3175,Female,Peggy Chen,-64.7076635,-63.77721089
Adelie,Biscoe,43.2,19,197,4775,Male,Jerry Smith,-64.76152823,-63.76042201
Adelie,Biscoe,38.1,16.5,198,3825,Female,James Sanchez,-64.71619958,-63.81544653
Adelie,Biscoe,45.6,20.3,191,4600,Male,Jorge Patton,-64.73710925,-63.77477932
Adelie,Biscoe,39.7,17.7,193,3200,Female,Sydney Simmons,-64.74130231,-63.77159917
Adelie,Biscoe,42.2,19.5,197,4275,Male,Victor Henderson,-64.73168632,-63.75846915
Adelie,Biscoe,39.6,20.7,191,3900,Female,Roger Grant,-64.74350089,-63.76861395
Adelie,Biscoe,42.7,18.3,196,4075,Male,Meredith Bautista,-64.72378191,-63.76671584
Adelie,Torgersen,38.6,17,188,2900,Female,Tony Weaver,-64.45677777,-63.76748561
Adelie,Torgersen,37.3,20.5,199,3775,Male,Elizabeth Sanchez,-64.47341107,-63.74756606
Adelie,Torgersen,35.7,17,189,3350,Female,Christopher Yu,-64.47861597,-63.72715977
Adelie,Torgersen,41.1,18.6,189,3325,Male,David Schultz,-64.47977943,-63.71932747
Adelie,Torgersen,36.2,17.2,187,3150,Female,Daniel King,-64.49118524,-63.7367929
Adelie,Torgersen,37.7,19.8,198,3500,Male,Adam Singh,-64.45537241,-63.72417161
Adelie,Torgersen,40.2,17,176,3450,Female,Emily Nolan,-64.46319386,-63.74033892
Adelie,Torgersen,41.4,18.5,202,3875,Male,Connie Hanna,-64.47557875,-63.70076932
Adelie,Torgersen,35.2,15.9,186,3050,Female,Robert Velasquez,-64.45952736,-63.72220924
Adelie,Torgersen,40.6,19,199,4000,Male,Ryan Fisher,-64.4506036,-63.73602933
Adelie,Torgersen,38.8,17.6,191,3275,Female,Theresa Hayes,-64.48441373,-63.69254334
Adelie,Torgersen,41.5,18.3,195,4300,Male,Anthony Mcclure,-64.48169056,-63.7404767
Adelie,Torgersen,39,17.1,191,3050,Female,Michael Davidson,-64.46244334,-63.69282057
Adelie,Torgersen,44.1,18,210,4000,Male,Taylor Boyle,-64.4588924,-63.75625476
Adelie,Torgersen,38.5,17.9,190,3325,Female,Susan Parker,-64.45110636,-63.71041799
Adelie,Torgersen,43.1,19.2,197,3500,Male,Mark Johnson,-64.47974959,-63.73844009
Adelie,Dream,36.8,18.5,193,3500,Female,Erika Coleman,-64.707806,-64.23577748
Adelie,Dream,37.5,18.5,199,4475,Male,Frank Medina,-64.68959954,-64.23284374
Adelie,Dream,38.1,17.6,187,3425,Female,Alexis Cooper,-64.70725427,-64.20120201
Adelie,Dream,41.1,17.5,190,3900,Male,Tyler Gonzales,-64.74611656,-64.21796738
Adelie,Dream,35.6,17.5,191,3175,Female,Timothy Hughes,-64.7182805,-64.2443524
Adelie,Dream,40.2,20.1,200,3975,Male,James Young,-64.74434481,-64.21236806
Adelie,Dream,37,16.5,185,3400,Female,Donna Hicks,-64.69991632,-64.19913196
Adelie,Dream,39.7,17.9,193,4250,Male,Pamela Singh,-64.74200943,-64.19803545
Adelie,Dream,40.2,17.1,193,3400,Female,Dr. Tracy Pace,-64.73784199,-64.21075249
Adelie,Dream,40.6,17.2,187,3475,Male,Jordan Ward,-64.73313088,-64.21408565
Adelie,Dream,32.1,15.5,188,3050,Female,Kara Adkins,-64.7230063,-64.24026953
Adelie,Dream,40.7,17,190,3725,Male,Jacob Smith,-64.70601075,-64.19850129
Adelie,Dream,37.3,16.8,192,3000,Female,Donna Snyder,-64.67982543,-64.18586807
Adelie,Dream,39,18.7,185,3650,Male,Sandra Duffy,-64.73880589,-64.21233942
Adelie,Dream,39.2,18.6,190,4250,Male,Crystal Mcfarland,-64.70440005,-64.19721842
Adelie,Dream,36.6,18.4,184,3475,Female,Jason Buckley,-64.73233387,-64.26746244
Adelie,Dream,36,17.8,195,3450,Female,Linda Oneill,-64.7033325,-64.21253321
Adelie,Dream,37.8,18.1,193,3750,Male,Andrew Phillips,-64.73522379,-64.20431287
Adelie,Dream,36,17.1,187,3700,Female,Amanda Nguyen,-64.68044148,-64.23362176
Adelie,Dream,41.5,18.5,201,4000,Male,Christine Savage,-64.72785128,-64.22033626
Chinstrap,Dream,46.5,17.9,192,3500,Female,Bradley Bright,-64.67584081,-64.23077162
Chinstrap,Dream,50,19.5,196,3900,Male,Daniel Ortiz,-64.70193733,-64.22149281
Chinstrap,Dream,51.3,19.2,193,3650,Male,Gabriela Hudson,-64.69943311,-64.21115852
Chinstrap,Dream,45.4,18.7,188,3525,Female,Lisa Guerra,-64.72182025,-64.22208894
Chinstrap,Dream,52.7,19.8,197,3725,Male,Joshua Smith,-64.70604825,-64.22491081
Chinstrap,Dream,45.2,17.8,198,3950,Female,Allison Davis,-64.72410912,-64.2437465
Chinstrap,Dream,46.1,18.2,178,3250,Female,Marc Smith,-64.70464723,-64.24907853
Chinstrap,Dream,51.3,18.2,197,3750,Male,Ashley Morris,-64.71343209,-64.24743906
Chinstrap,Dream,46,18.9,195,4150,Female,Nicholas Guerra,-64.69148947,-64.22643703
Chinstrap,Dream,51.3,19.9,198,3700,Male,Erica Wright,-64.75126713,-64.23279294
Chinstrap,Dream,46.6,17.8,193,3800,Female,Ruth Schmitt,-64.73630798,-64.21748131
Chinstrap,Dream,51.7,20.3,194,3775,Male,Shawn Byrd,-64.70752766,-64.20583159
Chinstrap,Dream,47,17.3,185,3700,Female,Kayla Mueller,-64.68488346,-64.24855666
Chinstrap,Dream,52,18.1,201,4050,Male,Mr. John Williams DDS,-64.74255197,-64.19584985
Chinstrap,Dream,45.9,17.1,190,3575,Female,Christopher Mcguire,-64.72181632,-64.21704695
Chinstrap,Dream,50.5,19.6,201,4050,Male,Emily Leblanc,-64.71949711,-64.20187244
Chinstrap,Dream,50.3,20,197,3300,Male,Jessica Payne,-64.6981937,-64.23053155
Chinstrap,Dream,58,17.8,181,3700,Female,Howard Huerta,-64.71847228,-64.18409941
Chinstrap,Dream,46.4,18.6,190,3450,Female,Wendy Johnson,-64.72708203,-64.23525841
Chinstrap,Dream,49.2,18.2,195,4400,Male,Antonio Jones,-64.73164055,-64.2223734
Chinstrap,Dream,42.4,17.3,181,3600,Female,Virginia Juarez,-64.71523462,-64.24303877
Chinstrap,Dream,48.5,17.5,191,3400,Male,Jane Reyes,-64.73092687,-64.23265732
Chinstrap,Dream,43.2,16.6,187,2900,Female,James Martinez,-64.70682165,-64.20130479
Chinstrap,Dream,50.6,19.4,193,3800,Male,Kimberly Gray,-64.7577347,-64.18078073
Chinstrap,Dream,46.7,17.9,195,3300,Female,Elizabeth Brennan,-64.71099181,-64.26823497
Chinstrap,Dream,52,19,197,4150,Male,Lori Wheeler,-64.69501128,-64.20088353
Chinstrap,Dream,50.5,18.4,200,3400,Female,Stephanie Cowan,-64.71613184,-64.21443587
Chinstrap,Dream,49.5,19,200,3800,Male,Toni Sanchez,-64.71450365,-64.26727839
Chinstrap,Dream,46.4,17.8,191,3700,Female,Sophia Fields,-64.71272589,-64.22471427
Chinstrap,Dream,52.8,20,205,4550,Male,Stephen Gray,-64.72131755,-64.23710943
Chinstrap,Dream,40.9,16.6,187,3200,Female,Trevor Miller,-64.76727446,-64.21983632
Chinstrap,Dream,54.2,20.8,201,4300,Male,Courtney Booth,-64.69953776,-64.20025367
Chinstrap,Dream,42.5,16.7,187,3350,Female,Brian Tucker,-64.73522261,-64.22333416
Chinstrap,Dream,51,18.8,203,4100,Male,Paul Campbell,-64.75112893,-64.1631158
Chinstrap,Dream,49.7,18.6,195,3600,Male,Edward Pierce,-64.69323494,-64.19819208
Chinstrap,Dream,47.5,16.8,199,3900,Female,Justin Hoover,-64.70487488,-64.22739661
Chinstrap,Dream,47.6,18.3,195,3850,Female,Dawn Castillo,-64.72003646,-64.22631314
Chinstrap,Dream,52,20.7,210,4800,Male,John Hodges,-64.69585597,-64.20560316
Chinstrap,Dream,46.9,16.6,192,2700,Female,Matthew Morse,-64.7701014,-64.20397506
Chinstrap,Dream,53.5,19.9,205,4500,Male,Fernando Maldonado,-64.72994223,-64.20698364
Chinstrap,Dream,49,19.5,210,3950,Male,Derrick Williamson,-64.69679367,-64.2196124
Chinstrap,Dream,46.2,17.5,187,3650,Female,Carol Gonzalez,-64.70892145,-64.21976184
Chinstrap,Dream,50.9,19.1,196,3550,Male,Sean Gonzalez DDS,-64.75391648,-64.22017159
Chinstrap,Dream,45.5,17,196,3500,Female,Diana Gutierrez,-64.71553869,-64.23163672
Chinstrap,Dream,50.9,17.9,196,3675,Female,Ashley Payne,-64.72469027,-64.20953312
Chinstrap,Dream,50.8,18.5,201,4450,Male,Brian Perry,-64.71252401,-64.18269528
Chinstrap,Dream,50.1,17.9,190,3400,Female,Jamie Johnson,-64.7189994,-64.25837056
Chinstrap,Dream,49,19.6,212,4300,Male,Regina Russo,-64.70772881,-64.24549175
Chinstrap,Dream,51.5,18.7,187,3250,Male,Darlene Mcbride,-64.7219015,-64.22265995
Chinstrap,Dream,49.8,17.3,198,3675,Female,Miguel Ruiz,-64.7364685,-64.201858
Chinstrap,Dream,48.1,16.4,199,3325,Female,Jennifer Chung,-64.73032694,-64.22358416
Chinstrap,Dream,51.4,19,201,3950,Male,Robert White,-64.68122297,-64.22102306
Chinstrap,Dream,45.7,17.3,193,3600,Female,Christine Ortiz,-64.70234689,-64.22338398
Chinstrap,Dream,50.7,19.7,203,4050,Male,Maurice Ray,-64.71168082,-64.19907799
Chinstrap,Dream,42.5,17.3,187,3350,Female,Timothy Williams,-64.7277977,-64.19570565
Chinstrap,Dream,52.2,18.8,197,3450,Male,Carlos Rodriguez,-64.73534313,-64.24100446
Chinstrap,Dream,45.2,16.6,191,3250,Female,Tony Johnson,-64.69846578,-64.22097203
Chinstrap,Dream,49.3,19.9,203,4050,Male,Laura Huff,-64.7302538,-64.23421844
Chinstrap,Dream,50.2,18.8,202,3800,Male,Barbara Bradshaw,-64.74276755,-64.17897067
Chinstrap,Dream,45.6,19.4,194,3525,Female,Bryan Young,-64.72749614,-64.2151881
Chinstrap,Dream,51.9,19.5,206,3950,Male,Laura Norris,-64.7411304,-64.23659761
Chinstrap,Dream,46.8,16.5,189,3650,Female,John Nguyen,-64.69673141,-64.23756373
Chinstrap,Dream,45.7,17,195,3650,Female,Laura Lyons,-64.69627049,-64.21661036
Chinstrap,Dream,55.8,19.8,207,4000,Male,Brian Davis,-64.76209353,-64.2213684
Chinstrap,Dream,43.5,18.1,202,3400,Female,Noah Harris,-64.73157833,-64.20812654
Chinstrap,Dream,49.6,18.2,193,3775,Male,Glenn Anderson,-64.70021098,-64.21796597
Chinstrap,Dream,50.8,19,210,4100,Male,John Lowery,-64.70886535,-64.25408968
Chinstrap,Dream,50.2,18.7,198,3775,Female,Jessica Carter,-64.74569509,-64.20717896
Gentoo,Biscoe,46.1,13.2,211,4500,Female,Harold Schmidt,-64.74183401,-63.81319866
Gentoo,Biscoe,50,16.3,230,5700,Male,Angela Lee,-64.72149262,-63.80481892
Gentoo,Biscoe,48.7,14.1,210,4450,Female,Keith Jones,-64.75129243,-63.77156988
Gentoo,Biscoe,50,15.2,218,5700,Male,Juan Smith,-64.73593586,-63.77591655
Gentoo,Biscoe,47.6,14.5,215,5400,Male,Megan Mcdonald,-64.72239876,-63.82970213
Gentoo,Biscoe,46.5,13.5,210,4550,Female,Karen Landry MD,-64.73604574,-63.7895314
Gentoo,Biscoe,45.4,14.6,211,4800,Female,Jason Schmidt,-64.7047008,-63.78244157
Gentoo,Biscoe,46.7,15.3,219,5200,Male,Beth Fletcher,-64.7446724,-63.81535341
Gentoo,Biscoe,43.3,13.4,209,4400,Female,Tony Robles,-64.75194667,-63.79928626
Gentoo,Biscoe,46.8,15.4,215,5150,Male,Amanda Brown,-64.76746603,-63.78469514
Gentoo,Biscoe,40.9,13.7,214,4650,Female,Jeremy Johnson,-64.71463451,-63.8091314
Gentoo,Biscoe,49,16.1,216,5550,Male,Anthony Mcknight,-64.76048907,-63.80324677
Gentoo,Biscoe,45.5,13.7,214,4650,Female,Dean Hernandez,-64.71585713,-63.78917648
Gentoo,Biscoe,48.4,14.6,213,5850,Male,Brian Robles,-64.76675778,-63.80854675
Gentoo,Biscoe,45.8,14.6,210,4200,Female,Robin Jones,-64.73587703,-63.78455587
Gentoo,Biscoe,49.3,15.7,217,5850,Male,Sarah Foster,-64.74955632,-63.79877339
Gentoo,Biscoe,42,13.5,210,4150,Female,Alexandria Stone,-64.7244135,-63.79363163
Gentoo,Biscoe,49.2,15.2,221,6300,Male,Jessica Garcia,-64.7256557,-63.7937283
Gentoo,Biscoe,46.2,14.5,209,4800,Female,Robin Mitchell,-64.75596105,-63.80934817
Gentoo,Biscoe,48.7,15.1,222,5350,Male,Carol Gilbert,-64.74851154,-63.7883849
Gentoo,Biscoe,50.2,14.3,218,5700,Male,Linda Gonzales,-64.73408086,-63.83386025
Gentoo,Biscoe,45.1,14.5,215,5000,Female,Jennifer Jones,-64.75211145,-63.77833941
Gentoo,Biscoe,46.5,14.5,213,4400,Female,Chase Maxwell,-64.7623431,-63.7860546
Gentoo,Biscoe,46.3,15.8,215,5050,Male,Vincent Ray,-64.72293122,-63.80066767
Gentoo,Biscoe,42.9,13.1,215,5000,Female,Tony Fritz,-64.75028529,-63.77603338
Gentoo,Biscoe,46.1,15.1,215,5100,Male,Justin Hall,-64.73976841,-63.78491104
Gentoo,Biscoe,47.8,15,215,5650,Male,Dalton Thompson,-64.77619612,-63.75590922
Gentoo,Biscoe,48.2,14.3,210,4600,Female,Tracy Clark,-64.73349918,-63.73016504
Gentoo,Biscoe,50,15.3,220,5550,Male,Anthony Mann,-64.73779247,-63.78716029
Gentoo,Biscoe,47.3,15.3,222,5250,Male,Robert Shepard,-64.72254637,-63.79813983
Gentoo,Biscoe,42.8,14.2,209,4700,Female,John Lang,-64.76700233,-63.78688436
Gentoo,Biscoe,45.1,14.5,207,5050,Female,Evan Sexton DVM,-64.75411046,-63.82095241
Gentoo,Biscoe,59.6,17,230,6050,Male,Ryan Johnson,-64.71285307,-63.78982052
Gentoo,Biscoe,49.1,14.8,220,5150,Female,Haley Benitez,-64.71791287,-63.78960036
Gentoo,Biscoe,48.4,16.3,220,5400,Male,Daniel Sullivan,-64.72882901,-63.81547028
Gentoo,Biscoe,42.6,13.7,213,4950,Female,Patricia Anderson,-64.73582888,-63.79664081
Gentoo,Biscoe,44.4,17.3,219,5250,Male,David Garcia,-64.7480048,-63.77153644
Gentoo,Biscoe,44,13.6,208,4350,Female,Kaylee Harris,-64.74192425,-63.79398476
Gentoo,Biscoe,48.7,15.7,208,5350,Male,Dennis Hayes,-64.70431362,-63.83489599
Gentoo,Biscoe,42.7,13.7,208,3950,Female,Mark Lewis,-64.73560349,-63.8105795
Gentoo,Biscoe,49.6,16,225,5700,Male,Suzanne Molina,-64.74343313,-63.77855019
Gentoo,Biscoe,45.3,13.7,210,4300,Female,John Wilkins,-64.71501505,-63.76723871
Gentoo,Biscoe,49.6,15,216,4750,Male,Todd Rodriguez,-64.70123136,-63.81056185
Gentoo,Biscoe,50.5,15.9,222,5550,Male,Adam Villarreal,-64.74118354,-63.75322567
Gentoo,Biscoe,43.6,13.9,217,4900,Female,John Lawrence,-64.72097358,-63.74926498
Gentoo,Biscoe,45.5,13.9,210,4200,Female,Dr. Kyle Smith,-64.74722976,-63.83182926
Gentoo,Biscoe,50.5,15.9,225,5400,Male,Christopher Snow,-64.75368255,-63.79205193
Gentoo,Biscoe,44.9,13.3,213,5100,Female,Matthew Ramos,-64.77393406,-63.80319442
Gentoo,Biscoe,45.2,15.8,215,5300,Male,Joshua Scott,-64.73924585,-63.76274436
Gentoo,Biscoe,46.6,14.2,210,4850,Female,Linda Shepherd,-64.72001808,-63.77892162
Gentoo,Biscoe,48.5,14.1,220,5300,Male,Anne Weiss,-64.76110496,-63.8363597
Gentoo,Biscoe,45.1,14.4,210,4400,Female,William Armstrong,-64.70804902,-63.76990491
Gentoo,Biscoe,50.1,15,225,5000,Male,Joseph Gardner,-64.72114719,-63.78058477
Gentoo,Biscoe,46.5,14.4,217,4900,Female,Janice Richards,-64.73106276,-63.78803878
Gentoo,Biscoe,45,15.4,220,5050,Male,Rebecca Cooper,-64.75986569,-63.80388089
Gentoo,Biscoe,43.8,13.9,208,4300,Female,Adam Francis,-64.76872027,-63.82062574
Gentoo,Biscoe,45.5,15,220,5000,Male,Shane Holmes,-64.7536852,-63.77138326
Gentoo,Biscoe,43.2,14.5,208,4450,Female,Jasmine Arnold,-64.71804679,-63.77501883
Gentoo,Biscoe,50.4,15.3,224,5550,Male,Christopher Nichols,-64.72739434,-63.72635014
Gentoo,Biscoe,45.3,13.8,208,4200,Female,Jonathan Snyder,-64.73070136,-63.7928048
Gentoo,Biscoe,46.2,14.9,221,5300,Male,Marie Smith,-64.72279424,-63.78398112
Gentoo,Biscoe,45.7,13.9,214,4400,Female,Emma White,-64.76962066,-63.77912054
Gentoo,Biscoe,54.3,15.7,231,5650,Male,Steven Conner,-64.7382134,-63.75943335
Gentoo,Biscoe,45.8,14.2,219,4700,Female,Scott Black,-64.76497659,-63.79290803
Gentoo,Biscoe,49.8,16.8,230,5700,Male,Michael Boyer,-64.71775573,-63.79403905
Gentoo,Biscoe,49.5,16.2,229,5800,Male,David Jones,-64.73902581,-63.78917002
Gentoo,Biscoe,43.5,14.2,220,4700,Female,Michelle Washington,-64.76181953,-63.79505486
Gentoo,Biscoe,50.7,15,223,5550,Male,Melissa Ruiz,-64.71205417,-63.82477432
Gentoo,Biscoe,47.7,15,216,4750,Female,Johnathan Fernandez,-64.76112244,-63.80637092
Gentoo,Biscoe,46.4,15.6,221,5000,Male,Danny Silva,-64.74024753,-63.8228444
Gentoo,Biscoe,48.2,15.6,221,5100,Male,Crystal Anderson,-64.69943886,-63.7861093
